Complex name	Complex size	Organism	Number of RNA-binding subunits	Number of SUMOylated subunits	RNA binding	SUMOylated	RNA.SUMO
60S APC containing complex	7	human	1	2	TRUE	TRUE	TRUE.TRUE
p27-cyclinE-Cdk2 - Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1) complex	8	human	0	1	FALSE	TRUE	FALSE.TRUE
TGF-beta receptor II-TGF-beta3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TGF-beta receptor II-TGF-beta receptor I-TGF-beta1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
TGF-beta receptor II-TGF-beta receptor I-TGF-beta3 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RNA-induced silencing complex, RISC	4	human	4	1	TRUE	TRUE	TRUE.TRUE
PAC3-PAC4 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
PAC1-PAC2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
LAT2-ITGB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1)	5	human	0	1	FALSE	TRUE	FALSE.TRUE
SMAD2-SMAD4-FAST1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD2-FAST1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Multisynthetase complex	11	human	8	10	TRUE	TRUE	TRUE.TRUE
TGF-beta-receptor type II homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
BMP2-BRIA complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SKI-NCOR1-SIN3A-HDAC1 complex	4	human	1	3	TRUE	TRUE	TRUE.TRUE
hs4 enhancer complex (faster migrating complex)	5	human	1	4	TRUE	TRUE	TRUE.TRUE
hs4 enhancer complex (slow migrating complex)	2	human	1	1	TRUE	TRUE	TRUE.TRUE
MAD-MAX complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
MYC-MAX complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
MAD1-mSin3A-HDAC2 complex	3	human	2	2	TRUE	TRUE	TRUE.TRUE
Nop56p-associated pre-rRNA complex	104	human	96	95	TRUE	TRUE	TRUE.TRUE
Microprocessor complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
ITGA10-ITGB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA11-ITGB1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA11-ITGB1-COL1A1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
RNA polymerase II complex, chromatin structure modifying	19	human	2	6	TRUE	TRUE	TRUE.TRUE
RNA polymerase II complex, chromatin structure modifying	19	human	2	6	TRUE	TRUE	TRUE.TRUE
RNA polymerase II complex, chromatin structure modifying	19	human	2	6	TRUE	TRUE	TRUE.TRUE
RNA polymerase II complex, incomplete (CDK8 complex), chromatin structure modifying	8	human	1	3	TRUE	TRUE	TRUE.TRUE
CTF18-cohesion-RFC-POLH complex	8	human	0	3	FALSE	TRUE	FALSE.TRUE
CTLH complex	5	human	0	1	FALSE	TRUE	FALSE.TRUE
UTX-MLL2/3 complex	12	human	1	6	TRUE	TRUE	TRUE.TRUE
DGCR8-NCL complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
DGCR8-ILF3 complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
ILF3-XPO5 complex	2	human	2	1	TRUE	TRUE	TRUE.TRUE
DGCR8 multiprotein complex	11	human	10	11	TRUE	TRUE	TRUE.TRUE
Nucleic and chromatin Fanconi complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
CCND1-CDK4 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CCND2-CDK4 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CCND3-CDK4 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CCND1-CDK6 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CCND2-CDK6 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CCND3-CDK6 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
APP-TOMM40 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
APP-TIMM23 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA6-ITGB4-SHC1-GRB2 complex	4	human	1	1	TRUE	TRUE	TRUE.TRUE
TIMM17-TIMM23 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TIM50a-SMN1 complex	2	human	2	1	TRUE	TRUE	TRUE.TRUE
TIM50a-coilin complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
DHX9-ADAR-vigilin-DNA-PK-Ku antigen complex	6	human	6	6	TRUE	TRUE	TRUE.TRUE
ITGAV-ITGB3-SLC3A2 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
ITGB1-NRP1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGAV-P2RY2-GNA12 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA9-ITGB1-SPP1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA5-ITGB1-SPP1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
ITGA2B-ITGB3-ICAM4 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGB5-ITGAV-VTN complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SMN1-SIP1-SNRP complex	7	human	6	5	TRUE	TRUE	TRUE.TRUE
OCT1-OBF1-DNA-TLE1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
OCT2-TLE4 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TLE2 homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
TLE1-TLE2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TLE1 homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
TLE-Histone H3 complex	7	human	0	1	FALSE	TRUE	FALSE.TRUE
Gamma-secretase complex (APH1B, PSEN1, PSENEN, NCSTN)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
STAT6-p100-RHA complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
OCT1-OBF1-DNA complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Phosphatidylinositol 3-kinase (PIK3CA, PIK3R1)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
POSH-AKT2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CRLR-RAMP2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CRLR-RAMP3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex	11	human	1	4	TRUE	TRUE	TRUE.TRUE
NK-3-Groucho complex	7	human	0	0	FALSE	FALSE	FALSE.FALSE
Sulphiredoxin-peroxiredoxin complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
GNAQ-GEFT-RHOA complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Notch2(N-TM)-Notch2(N-EC)-Delta complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Bipartite complex (TFC4, CTNNB1)	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CBF1-HDAC1-SMRT complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Prolactin (PRL) - PRL receptor (PRLR) complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
RIAM-profilin complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
RIAM-VASP complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
PRL receptor (PRLR) dimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
TF-FVIIa-FXa-TFPI complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
HESX1-TLE1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
AXIN-APC-betaCatenin-GSK3B complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
NCOR-SIN3-HDAC-HESX1 complex	6	human	2	5	TRUE	TRUE	TRUE.TRUE
DAXX-AXIN complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Daxx-Axin-p53 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
NUMB-TP53-MDM2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CIN85 homotetramer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
CIN85-BLNK complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
USP1-UAF1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
GNA14-p115RhoGEF complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
LMO4-CREB complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
FHL2 homodimer complex	1	human	0	1	FALSE	TRUE	FALSE.TRUE
PDGFRA-SHP-2 complex, PDGF stimulated	2	human	0	0	FALSE	FALSE	FALSE.FALSE
FHL3 homodimer complex	1	human	0	1	FALSE	TRUE	FALSE.TRUE
ACT homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
GRB2-SHP-2 complex, PDGF stimulated	2	human	1	0	TRUE	FALSE	TRUE.FALSE
FHL2-FHL3 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
FHL2-ACT complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
FHL2-CREB complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
FHL3-CREB complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ACT-CREB complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
FHL4/STX11-ACT complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SMAD4-SNO-SKI complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD2-SKI complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
SMAD3-SKI complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
SMAD4-SKI complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
SMAD2-SKI-NCOR complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD3-SKI-NCOR complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
SMAD4-SKI-NCOR complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
LIN2-LIN7-SAP97-MINT1 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
LIN2-LIN7 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ULBP1-KLRK1-HCST complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Heterodimer complex (CDK9, IL6ST)	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Eps15-stonin2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SCAMP1-SCAMP2-SCAMP3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
HERP1/HEY2-NCOR-SIN3A complex	4	human	1	3	TRUE	TRUE	TRUE.TRUE
RB1-HDAC1-BRG1 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Delta1 homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Gamma-secretase-Delta1 complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
SMN complex (GEMIN5,2,3,4, SMN)	5	human	2	3	TRUE	TRUE	TRUE.TRUE
SMN complex (GEMIN5,4,3), SMN-independent intermediate	3	human	1	3	TRUE	TRUE	TRUE.TRUE
SMN complex (GEMIN6,7, UNRIP), SMN-independent intermediate	3	human	1	1	TRUE	TRUE	TRUE.TRUE
SMN complex (GEMIN2,5, SMN)	3	human	2	1	TRUE	TRUE	TRUE.TRUE
Homotetrameric complex NIAP	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Tetrameric COG subcomplex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Binary COG subcomplex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
COG1-COG8 subcomplex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
COG2-COG3-COG4 subcomplex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
COG5-COG6-COG7 subcomplex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
COG1-COG8-COG2-COG3-COG4 subcomplex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
COG1-COG8-COG5-COG6-COG7 subcomplex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
GammaH2AFX-NDHII-Ku70-DNA complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
NR3C2-UBC9-SRC-1 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
RIN1-STAM2-HRS complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RIN1-STAM2-EGFR complex, EGF stimulated	3	human	0	0	FALSE	FALSE	FALSE.FALSE
CHL2-BMP2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CHL2-BMP2-TSG complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Pericentrin-GCP complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SKI-SMAD2-SMAD4  pentameric complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
SKI-SMAD3-SMAD4  pentameric complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
CREBBP-SMAD2 hexameric complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CREBBP-SMAD3 hexameric complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CREBBP-SMAD2-SMAD4 pentameric complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
CREBBP-SMAD3-SMAD4 pentameric complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
DRIP78-PHLP complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ADRB2 homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
TCL1(trimer)-AKT1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
TCL1(trimer)-AKT2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TCL1(homotrimer) complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Rb-HDAC1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
GABP(gamma)1-E2F1-DP1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ternary complex (GATA4, SRF, MYOCD)	3	human	1	1	TRUE	TRUE	TRUE.TRUE
RCP-Rab11 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
SMAD3-cSKI-SIN3A-HDAC1 complex	4	human	1	3	TRUE	TRUE	TRUE.TRUE
SMURF2-SMAD3-SnoN complex, TGF(beta)-dependent	3	human	0	2	FALSE	TRUE	FALSE.TRUE
mTORC2 complex (mTOR/FRAP1, LST8, mAVO3/RICTOR, SIN1)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
mTOR-RAPTOR complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ClpP complex, heptameric	1	human	0	0	FALSE	FALSE	FALSE.FALSE
ClpX complex, hexameric	1	human	0	0	FALSE	FALSE	FALSE.FALSE
ClpXP complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Affixin-actinin(alpha) complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
PAR4-BACE1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
NEMO-HIF2(alpha)-ARNT complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Ku70/Ku86/Werner complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
SMAD6-HOXC8 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SMAD6-HOXA9 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Catulin (alpha) - catenin (beta) complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Catenin (alpha) - catenin (beta) complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
HSP90-FKBP38-CAM-Ca(2+) complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
DLP1-hFIS1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
GR-hnRNP U complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I)	4	human	4	4	TRUE	TRUE	TRUE.TRUE
EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)	5	human	5	5	TRUE	TRUE	TRUE.TRUE
EIF3 complex (EIF3B, EIF3G, EIF3I)	3	human	3	3	TRUE	TRUE	TRUE.TRUE
EIF3 complex (EIF3B, EIF3J, EIF3I)	3	human	3	3	TRUE	TRUE	TRUE.TRUE
EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)	5	human	5	5	TRUE	TRUE	TRUE.TRUE
CBF-DNA complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
p32-CBF-DNA complex	4	human	1	1	TRUE	TRUE	TRUE.TRUE
beta(1)-AR receptosome (ADRB1-SAP97-AKAP79-PRKAR2A)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
SVIP-p97/VCP-DERL1 complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
gp78-p97/VCP-DERL1 complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
p97/VCP-VIMP-DERL1 complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
p97/VCP-VIMP-DERL2 complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
p97/VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex	6	human	1	1	TRUE	TRUE	TRUE.TRUE
ZO1-(beta)cadherin-(VE)cadherin-VEGFR2 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
RB1(hypophosphorylated)-E2F4 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CyclinD3-CDK4-CDK6 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CyclinD3-CDK4-CDK6-p21 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
p34(SEI-1)-CDK4-CyclinD2 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
pRb2/p130-multimolecular complex (DNMT1, E2F4, SuV39H1, HDAC1, RBL2)	5	human	1	2	TRUE	TRUE	TRUE.TRUE
pRb2/p130-multimolecular complex (RB2, E2F4, HDAC1, SUV39H1, P300)	5	human	1	1	TRUE	TRUE	TRUE.TRUE
E2F1-p107-cyclinA complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RB1-TFAP2A complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
CTFC-TAF1 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
CTCF-nucleophosmin complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
SMARCA2/BRM-BAF57-MECP2 complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
E2F4-p107-cyclinE complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
E2F4-p130 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ELK1-SRF-ELK3 complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
AP1G1-PACS1-FURIN complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SH3KBP1-CBLB-EGFR complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
MGC1-DNA-PKcs-Ku complex	4	human	3	4	TRUE	TRUE	TRUE.TRUE
Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)	11	human	1	2	TRUE	TRUE	TRUE.TRUE
NCOA6-DNA-PK-Ku-PARP1 complex	5	human	4	4	TRUE	TRUE	TRUE.TRUE
DNA-PK-Ku-eIF2-NF90-NF45 complex	8	human	8	8	TRUE	TRUE	TRUE.TRUE
SWI/SNF chromatin-remodeling complex	5	human	3	5	TRUE	TRUE	TRUE.TRUE
YWHAQ-CALM1-CABIN1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
TIAM1-EFNB1-EPHA2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)	12	human	0	5	FALSE	TRUE	FALSE.TRUE
TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)	10	human	0	4	FALSE	TRUE	FALSE.TRUE
PTIP-HMT complex	10	human	1	5	TRUE	TRUE	TRUE.TRUE
TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)	12	human	0	4	FALSE	TRUE	FALSE.TRUE
PTIP-DNA damage response complex	6	human	0	5	FALSE	TRUE	FALSE.TRUE
CBP-RARA-RXRA-DNA complex, ligand stimulated	3	human	1	0	TRUE	FALSE	TRUE.FALSE
Kinase maturation complex 1	16	human	6	10	TRUE	TRUE	TRUE.TRUE
TBP-TAF complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquilin-proteasome complex	6	human	2	3	TRUE	TRUE	TRUE.TRUE
TANK-TRAF2-TRAF3 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RAF1-PPP2-PIN1 complex	5	human	0	3	FALSE	TRUE	FALSE.TRUE
Kinase maturation complex 2	8	human	2	3	TRUE	TRUE	TRUE.TRUE
Pex26-Pex6-Pex1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CS-MAP3K7IP1-MAP3K7IP2 complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
Calreticulin oligomer complex	1	human	1	1	TRUE	TRUE	TRUE.TRUE
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex	5	human	1	2	TRUE	TRUE	TRUE.TRUE
p14-Mp1-MEK1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Casein kinase II (beta-dimer, alpha'-dimer)	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Casein kinase II (beta-dimer, alpha-dimer)	2	human	0	2	FALSE	TRUE	FALSE.TRUE
p14-Mp1-ERK2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
REL-MAP3K8-RELA-TNIP2-PAPOLA complex	5	human	1	2	TRUE	TRUE	TRUE.TRUE
RPA complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex	12	human	0	6	FALSE	TRUE	FALSE.TRUE
53BP1-containing complex	5	human	2	4	TRUE	TRUE	TRUE.TRUE
TNF-alpha/Nf-kappa B signaling complex (RPL6, RPL30, RPS13, CHUK, DDX3X, NFKB2, NFKBIB, REL, IKBKG, NFKB1, MAP3K8, RELB, GLG1, NFKBIA, RELA, TNIP2,  GTF2I)	17	human	4	9	TRUE	TRUE	TRUE.TRUE
TNF-alpha/NF-kappa B signaling complex 5	25	human	4	10	TRUE	TRUE	TRUE.TRUE
IKBKB-CDC37-KIAA1967-HSP90AB1-HSP90AA1 complex	5	human	3	4	TRUE	TRUE	TRUE.TRUE
WRN-Ku70-Ku80-PARP1 complex	4	human	3	4	TRUE	TRUE	TRUE.TRUE
CAP(C)-CAP(E) complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
SMC1-SMC3 complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
XRCC1-LIG3-PNK-TDP1 complex	4	human	0	4	FALSE	TRUE	FALSE.TRUE
Dolichol-phosphate mannose (DPM) synthase	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Ku-ORC complex	6	human	2	5	TRUE	TRUE	TRUE.TRUE
MNK1-eIF4F complex	5	human	2	1	TRUE	TRUE	TRUE.TRUE
TCF4-CTNNB1-SUMO1-EP300-HADAC6 complex	5	human	2	1	TRUE	TRUE	TRUE.TRUE
TCF4-CTNNB1-EP300 complex	3	human	1	0	TRUE	FALSE	TRUE.FALSE
TCF4-CTNNB1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TCF4-CTNNB1-CREBBP complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
TNF-alpha/NF-kappa B signaling complex 6	14	human	9	10	TRUE	TRUE	TRUE.TRUE
VHL-VDU1-TCEB1-TCEB2 complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
TNF-alpha/NF-kappa B signaling complex 7	8	human	2	4	TRUE	TRUE	TRUE.TRUE
TNF-alpha/NF-kappa B signaling complex 8	6	human	3	5	TRUE	TRUE	TRUE.TRUE
VHL-TCEB1-TCEB2 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
VHL-TBP1-HIF1A complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
Cell-cell junction complex (ARHGAP10-CTNNA1)	2	human	1	1	TRUE	TRUE	TRUE.TRUE
HIF1A-OS9-EGLN1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
HIF1A-OS9-EGLN3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
RAB9-TIP47-MPRI complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Cell-cell junction complex (CDH1-CTNNB1)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CAS-SRC-FAK complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
tRNA splicing endonuclease	5	human	0	2	FALSE	TRUE	FALSE.TRUE
RNA endonuclease (SEN2deltaEx8, SEN54, CLP1)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
TNF-alpha/NF-kappa B signaling complex 9	5	human	1	3	TRUE	TRUE	TRUE.TRUE
TNF-alpha/NF-kappa B signaling complex 10	10	human	3	4	TRUE	TRUE	TRUE.TRUE
P53-BARD1-Ku70 complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
ETS2-SMARCA4-INI1 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
LATS1-HTRA2-BIRC4 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
DDEF1-CTTN-PXN complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
CDH1-CKS1B complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CDH1-SKP2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
YY1-MDM2-p53 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
ELMO1-DOCK1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ELMO1-DOCK2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ELMO1-DOCK1-RAC1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ELMO1-DOCK1-CRKII complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
AGO2-FXR1-TNF(alpha)ARE-RNP complex	2	human	2	1	TRUE	TRUE	TRUE.TRUE
Cell division cycle complex (CDC27, CDC16, ANAPC7)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)	3	human	3	2	TRUE	TRUE	TRUE.TRUE
THRB-RXRB complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ATM homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
ERAP1-ERAP2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Grancalcin-sorcin complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SRI homodimer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
Chromatin remodeling complex (TACC2, TACC3, PCAF)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
EGR-EP300 complex	2	human	1	0	TRUE	FALSE	TRUE.FALSE
TRBP containing complex (DICER, TRBP, AGO2, RPL7A, EIF6, MOV10)	6	human	6	2	TRUE	TRUE	TRUE.TRUE
